champion,games,wins,winrate,pick_rate
Thresh,2257,1166,51.661497563136905,3.3824895842699996
Tristana,3906,2041,52.25294418842806,5.8537901267871595
Trundle,2174,1057,48.62005519779209,3.25810029074124
Tryndamere,777,417,53.66795366795367,1.1644636273716393
Twisted Fate,1177,662,56.244689889549704,1.763930102209034
Twitch,556,258,46.402877697841724,0.8332584000239787
Udyr,1291,545,42.21533694810225,1.9347780475376912
Urgot,231,100,43.290043290043286,0.34619188921859545
Varus,5409,2613,48.30837493067111,8.10628540598867
Vayne,415,205,49.39759036144578,0.621946467643797
Veigar,901,417,46.281908990011104,1.3502982345712318
Vel'Koz,87,42,48.275862068965516,0.13038395827713337
Vex,1138,555,48.76977152899824,1.7054821209123878
Vi,4999,2554,51.09021804360873,7.491832269280341
Viego,6799,3184,46.83041623768201,10.189431406048618
Viktor,3109,1476,47.475072370537156,4.659353175673651
Vladimir,306,153,50.0,0.4585918532506069
Volibear,2304,1142,49.56597222222222,3.4529268950633933
Warwick,13,6,46.15384615384615,0.01948266043221533
Wukong,5938,3015,50.77467160660155,8.899079818961123
Xayah,5453,2874,52.70493306436824,8.172226718220783
Xerath,252,91,36.11111111111111,0.37766387914755867
Xin Zhao,4908,2331,47.49388753056235,7.3554536462548334
Yasuo,831,403,48.49578820697955,1.2453916014746875
Yone,2510,1308,52.111553784860554,3.761652129604652
Yorick,27,10,37.03703703703704,0.04046398705152414
Yuumi,1958,929,47.446373850868234,2.934388394329047
Zac,527,250,47.43833017077799,0.7897970805982676
Zed,157,76,48.40764331210191,0.23529059137367744
Zeri,7110,3582,50.37974683544304,10.655516590234692
Ziggs,1125,522,46.400000000000006,1.6859994604801725
Zilean,397,189,47.607052896725435,0.5949704762761142
Zoe,729,373,51.16598079561042,1.0925276503911518
Zyra,792,422,53.28282828282829,1.1869436201780417
