month,champion,count,total_games,pick_rate,month_date
2023-01,Zeri,257,1368,18.78654970760234,2023-01-01
2023-02,Aphelios,83,3566,2.327537857543466,2023-02-01
2023-02,Jinx,27,3566,0.7571508693213684,2023-02-01
2023-02,K'Sante,564,3566,15.816040381379699,2023-02-01
2023-02,Nautilus,428,3566,12.002243409983175,2023-02-01
2023-02,Rakan,163,3566,4.570947840717891,2023-02-01
2023-02,Sejuani,796,3566,22.32192933258553,2023-02-01
2023-02,Viego,80,3566,2.243409983174425,2023-02-01
2023-02,Zeri,534,3566,14.974761637689287,2023-02-01
2023-03,Aphelios,572,3814,14.997378080755114,2023-03-01
2023-03,Jinx,275,3814,7.210277923439958,2023-03-01
2023-03,K'Sante,513,3814,13.450445726271631,2023-03-01
2023-03,Nautilus,565,3814,14.813843733613005,2023-03-01
2023-03,Rakan,678,3814,17.776612480335604,2023-03-01
2023-03,Sejuani,537,3814,14.079706345044574,2023-03-01
2023-03,Viego,257,3814,6.738332459360253,2023-03-01
2023-03,Zeri,569,3814,14.918720503408494,2023-03-01
2023-04,Aphelios,187,1264,14.794303797468356,2023-04-01
2023-04,Jinx,224,1264,17.72151898734177,2023-04-01
2023-04,K'Sante,210,1264,16.61392405063291,2023-04-01
2023-04,Nautilus,210,1264,16.61392405063291,2023-04-01
2023-04,Rakan,279,1264,22.072784810126585,2023-04-01
2023-04,Sejuani,138,1264,10.917721518987342,2023-04-01
2023-04,Viego,120,1264,9.49367088607595,2023-04-01
2023-04,Zeri,274,1264,21.677215189873415,2023-04-01
2023-05,Aphelios,243,886,27.42663656884876,2023-05-01
2023-05,Jinx,212,886,23.927765237020317,2023-05-01
2023-05,K'Sante,167,886,18.848758465011286,2023-05-01
2023-05,Nautilus,157,886,17.720090293453726,2023-05-01
2023-05,Rakan,143,886,16.13995485327314,2023-05-01
2023-05,Sejuani,37,886,4.17607223476298,2023-05-01
2023-05,Viego,109,886,12.302483069977427,2023-05-01
2023-05,Zeri,134,886,15.124153498871332,2023-05-01
2023-06,Aphelios,1036,3344,30.980861244019138,2023-06-01
2023-06,Jinx,364,3344,10.885167464114833,2023-06-01
2023-06,K'Sante,729,3344,21.800239234449762,2023-06-01
2023-06,Nautilus,521,3344,15.580143540669855,2023-06-01
2023-06,Rakan,566,3344,16.925837320574164,2023-06-01
2023-06,Sejuani,403,3344,12.051435406698564,2023-06-01
2023-06,Viego,274,3344,8.19377990430622,2023-06-01
2023-06,Zeri,406,3344,12.14114832535885,2023-06-01
2023-07,Aphelios,526,3808,13.813025210084035,2023-07-01
2023-07,Jinx,160,3808,4.201680672268908,2023-07-01
2023-07,K'Sante,604,3808,15.861344537815125,2023-07-01
2023-07,Nautilus,726,3808,19.06512605042017,2023-07-01
2023-07,Rakan,665,3808,17.463235294117645,2023-07-01
2023-07,Sejuani,761,3808,19.98424369747899,2023-07-01
2023-07,Viego,327,3808,8.58718487394958,2023-07-01
2023-07,Zeri,99,3808,2.5997899159663866,2023-07-01
2023-08,Aphelios,125,1804,6.929046563192904,2023-08-01
2023-08,Jinx,32,1804,1.7738359201773837,2023-08-01
2023-08,K'Sante,294,1804,16.29711751662971,2023-08-01
2023-08,Nautilus,342,1804,18.957871396895786,2023-08-01
2023-08,Rakan,344,1804,19.06873614190687,2023-08-01
2023-08,Sejuani,364,1804,20.17738359201774,2023-08-01
2023-08,Viego,131,1804,7.261640798226164,2023-08-01
2023-08,Zeri,251,1804,13.913525498891351,2023-08-01
2023-09,Aphelios,43,720,5.972222222222222,2023-09-01
2023-09,Jinx,15,720,2.083333333333333,2023-09-01
2023-09,K'Sante,107,720,14.86111111111111,2023-09-01
2023-09,Nautilus,148,720,20.555555555555554,2023-09-01
2023-09,Rakan,116,720,16.11111111111111,2023-09-01
2023-09,Sejuani,96,720,13.333333333333334,2023-09-01
2023-09,Viego,58,720,8.055555555555555,2023-09-01
2023-09,Zeri,103,720,14.305555555555555,2023-09-01
2023-10,Aphelios,49,768,6.380208333333333,2023-10-01
2023-10,Jinx,19,768,2.473958333333333,2023-10-01
2023-10,K'Sante,133,768,17.317708333333336,2023-10-01
2023-10,Nautilus,124,768,16.145833333333336,2023-10-01
2023-10,Rakan,157,768,20.442708333333336,2023-10-01
2023-10,Sejuani,76,768,9.895833333333332,2023-10-01
2023-10,Viego,66,768,8.59375,2023-10-01
2023-10,Zeri,58,768,7.552083333333333,2023-10-01
2023-11,Aphelios,78,596,13.087248322147651,2023-11-01
2023-11,Jinx,39,596,6.543624161073826,2023-11-01
2023-11,K'Sante,105,596,17.61744966442953,2023-11-01
2023-11,Nautilus,83,596,13.926174496644295,2023-11-01
2023-11,Rakan,107,596,17.953020134228186,2023-11-01
2023-11,Sejuani,46,596,7.718120805369128,2023-11-01
2023-11,Viego,35,596,5.87248322147651,2023-11-01
2023-11,Zeri,37,596,6.208053691275168,2023-11-01
2023-12,Aphelios,3,82,3.6585365853658534,2023-12-01
2023-12,K'Sante,9,82,10.975609756097562,2023-12-01
2023-12,Nautilus,12,82,14.634146341463413,2023-12-01
2023-12,Rakan,9,82,10.975609756097562,2023-12-01
2023-12,Sejuani,11,82,13.414634146341465,2023-12-01
2023-12,Viego,3,82,3.6585365853658534,2023-12-01
2024-01,Aphelios,170,1368,12.426900584795321,2024-01-01
2024-01,Jinx,19,1368,1.3888888888888888,2024-01-01
2024-01,K'Sante,344,1368,25.146198830409354,2024-01-01
2024-01,Nautilus,167,1368,12.207602339181287,2024-01-01
2024-01,Rakan,167,1368,12.207602339181287,2024-01-01
2024-01,Sejuani,77,1368,5.628654970760234,2024-01-01
2024-01,Viego,59,1368,4.312865497076023,2024-01-01
2024-01,Zeri,26,1368,1.9005847953216373,2024-01-01
2024-02,Aphelios,127,2604,4.8771121351766515,2024-02-01
2024-02,Jinx,33,2604,1.2672811059907834,2024-02-01
2024-02,K'Sante,676,2604,25.960061443932414,2024-02-01
2024-02,Nautilus,589,2604,22.61904761904762,2024-02-01
2024-02,Rakan,238,2604,9.13978494623656,2024-02-01
2024-02,Sejuani,198,2604,7.603686635944701,2024-02-01
2024-02,Viego,194,2604,7.450076804915515,2024-02-01
2024-02,Zeri,44,2604,1.6897081413210446,2024-02-01
2024-03,Aphelios,71,2768,2.565028901734104,2024-03-01
2024-03,Jinx,129,2768,4.660404624277457,2024-03-01
2024-03,K'Sante,406,2768,14.667630057803468,2024-03-01
