league,LCK,LCS,LEC,LPL
LCK,1.0,0.9446551783340941,0.9395764881831264,0.9276902868110996
LCS,0.9446551783340941,1.0,0.9556842447939121,0.9319271542860821
LEC,0.9395764881831264,0.9556842447939121,1.0,0.9142035147741868
LPL,0.9276902868110996,0.9319271542860821,0.9142035147741868,1.0
